feature,importance
route_departure_freq,0.16306718
fk_departure_ota_bus_company,0.07270802
place_destination_departure,0.069912665
departure_company_freq,0.063024096
place_origin_departure,0.055259082
route_departure,0.055026483
dest_dept_freq,0.049954865
origin_dept_freq,0.0498323
return_company_freq,0.03932826
gmv_success,0.038860854
route_return,0.03759474
fk_return_ota_bus_company,0.03598287
date_purchase,0.03522115
total_tickets_quantity_success,0.032464277
cluster,0.028851762
month,0.026129026
quarter,0.025913142
day_of_week,0.02549496
period_of_day,0.025390124
hour,0.023642896
is_weekend,0.023526246
time_purchase,0.022815084
data_clusterizacao,0.0
fk_contact,0.0
is_round_trip,0.0
place_destination_return,0.0
place_origin_return,0.0
versao_modelo,0.0
